genre,A_words,WEAT(예술영화 vs 일반영화),p_value(NA)(예술영화 vs 일반영화),WEAT(예술영화 vs 독립영화),p_value(NA)(예술영화 vs 독립영화),WEAT(일반영화 vs 독립영화),p_value(NA)(일반영화 vs 독립영화)
SF,"지구,인류,로봇,박사,미래,우주선,인간,우주,외계,시스템",-0.017319722896846922,,-0.2901174206172192,,-0.2737173860538392,
가족,"아빠,낙타,엄마,미아,동구,가족,할머니,케이시,스튜어트,번개",0.723052573285424,,-0.19695074343021626,,-0.9030820710099224,
공연,"오페라,왕자,카바,백작,프레,콘서트,공작,공연,실황,사랑",0.4469562906301476,,0.10108042490998348,,-0.48731572808880197,
공포(호러),"공포,좀비,저주,발견,죽음,일행,악령,사건,귀신,저택",0.32307921178612786,,-0.12397083727004474,,-0.4377683694007138,
기타,"서울,단편,영화제,국제,이미지,뉴미디어,지하철,유럽,이야기,독립",-1.0785362518186457,,-0.579553842218366,,0.5124710424911966,
다큐멘터리,"다큐멘터리,감독,우리,영화,환경,영화제,여성,다큐,기록,한국",-0.9955768674580032,,-0.1269127628244257,,0.8320614387300405,
드라마,"영화제,엄마,사랑,연출,아버지,어머니,아들,독립,경쟁,단편",-0.713208889538479,,-0.17773208673882515,,0.5803074737348576,
멜로로맨스,"그녀,사랑,남편,섹스,여자,마음,결혼,남자,유혹,부부",0.13220020400962829,,0.3088387580896677,,0.12233775642247284,
뮤지컬,"뮤지컬,카바,충무로,모차르트,바흐,크리스틴,음악,모도,성당,팬텀",0.20839424637475612,,0.02258193265394053,,-0.21729165327412528,
미스터리,"사건,민혁,미스터리,진실,사이먼,사고,소설,죽음,현우,발견",0.5752557668448052,,-0.17427839733388076,,-0.7016992754340238,
범죄,"경찰,사건,범죄,조직,마약,은행,살인,형사,살해,작전",0.4507842786260001,,-0.5024461943047676,,-0.7561313531840916,
사극,"조선,트로이,권력,황제,정조,오전,운명,명탐정,윤서,대호",0.71471761758965,,0.18248223512806552,,-0.6124782481638692,
서부극(웨스턴),"서부,보안관,카우보이,헨리,분노,아이,마을,복수,위해,아내",0.6239993277845959,,0.1628479205887525,,-0.42102061667328994,
성인물(에로),"남편,마사지,그녀,정사,관계,섹스,에피소드,유부녀,그린,불륜",-0.35890803961967344,,-0.15724404378745474,,0.23377163855851898,
스릴러,"살인,사건,살해,형사,범인,경찰,발견,아내,시작,진실",0.5825924592713501,,-0.207838911124211,,-0.8110071153990123,
애니메이션,"애니메이션,국제,페스티벌,친구,동물,모험,애니,만화,최강,마법",-0.2851638183735603,,-0.6597797689171757,,-0.36366810678420725,
액션,"조직,경찰,요원,목숨,임무,위해,복수,납치,테러,음모",0.4476919248427474,,-0.5728080488519897,,-0.8538780143615137,
어드벤처,"모험,원주민,보물,위해,펠레,여정,루카스,요정,피트,옥자",0.5269074431718715,,-0.3888310619978411,,-0.8928919234127524,
전쟁,"전투,독일군,전쟁,작전,부대,독일,병사,연합군,나치,군인",0.20363114092929827,,-0.40824036011991593,,-0.579840920261206,
코미디,"코미디,인생,과연,게다가,파티,결혼식,스티브,밴드,외모,좌충우돌",0.4236693594968096,,-0.12718908901119177,,-0.5355447181217199,
판타지,"요괴,알렉스,마법,유령,공주,순영,에드워드,대인,저승,판타스틱",0.6956446666993913,,-0.2832130564505334,,-0.9060520153304031,
